Country,Claim_Status,Incident_Report_Type,Policy_Type,Role,Risk_Level,Asset_Type,Policy_Source,Tax_Exempt,Payment_Frequency,Plan_Type,Fiscal_Year,Claim_Reference_Number,Zip_Code,City,State,Vehicle_VIN,Vehicle_Make,Vehicle_Model,Vehicle_Year,Incident_Date,Report_Date,Policy_Holder_Age,Property_Address,Mailing_Address,Address_Verification_Status,Net_Premium,State_Tax,Gross_Premium,Policy_Family_ID,Premium_Amount,Coverage_Limit,Base_Payout,Extra_Expenses,Legal_Fees,Total_Claim_Cost
Canada,Settled,Standard,Travel,Policy_Holder,High_Risk,Commercial_Truck,Agent,No,Quarterly,Standard_Individual,2010,LEGACY-543,64772,North Lindamouth,Montana,213 PNH,"Mitchell, Clark and Mooney",Manager,2018,2022-10-04,2022-10-31,54,70177 Max Manor Suite 111,70177 Max Manor Suite 111,Verified_Match,2220.15,177.61,2422.405210378185,FAM-16837,2422.41,146205.58,46998.33,3919.06,4121.27,55038.66
UK,Settled,Standard,Property,Primary_Driver,Low_Risk,Personal_Item,Agent,No,Monthly,Standard_Individual,2004,LEGACY-825,76504,Port Laurachester,Utah,ZN-2470,Snyder LLC,Herself,1994,2025-04-18,2025-05-04,83,157 Alexander Pike,157 Alexander Pike,Verified_Match,1971.17,157.69,2145.1840318402,FAM-7936,2145.18,415845.8,43530.53,2430.29,5867.96,51828.78
USA,Settled,Standard,Home,Beneficiary,Low_Risk,Boat,Online,No,Annual,Standard_Individual,2003,LEGACY-333,91881,North Deborah,California,OGP0419,"Santos, Beck and Camacho",Building,2007,2020-12-05,2020-12-15,1,1861 Michelle Hill Apt. 723,1861 Michelle Hill Apt. 723,Verified_Match,2875.8,230.06,3105.86,FAM-10833,3105.86,490099.73,31557.54,440.59,2717.01,34715.14
USA,Settled,Urgent,Home,Policy_Holder,High_Risk,Boat,Agent,No,Quarterly,Standard_Individual,2005,LEGACY-766,35173,West David,Oregon,5B 4R0USP,"Lester, Mccoy and Delgado",Loss,2009,2025-11-16,2025-11-27,40,831 Garrett Unions,831 Garrett Unions,Verified_Match,1494.15,119.53,1656.866550970123,FAM-17896,1656.87,323865.9,41826.71,1886.83,6916.33,50629.87
Canada,Open,Standard,Auto,Beneficiary,Standard,Commercial_Truck,Online,No,Annual,Standard_Individual,2011,LEGACY-440,34893,Montgomeryville,Michigan,U97 8XV,Levy-Weaver,Reality,2022,2024-02-06,2024-02-22,19,30876 Laura Pine,30876 Laura Pine,Verified_Match,2783.84,222.71,3006.55,FAM-7998,3006.55,31863.78,19373.39,2662.43,8797.77,31239.77
USA,Open,Standard,Auto,Primary_Driver,Standard,Boat,Agent,No,Annual,Standard_Individual,2021,REF-117078,56722,Brittanymouth,Michigan,8-83293,Cunningham-Howard,Color,1990,2023-08-20,2023-08-26,32,88627 Stewart Crossing,88627 Stewart Crossing,Verified_Match,2348.11,187.85,2535.96,FAM-15670,2535.96,269166.97,14892.44,2783.88,6500.55,25172.61
UK,Settled,Standard,Home,Primary_Driver,High_Risk,Personal_Item,Online,No,Annual,Standard_Individual,2007,LEGACY-244,65243,North Gregoryburgh,Colorado,471 2768,Herrera-Mason,Practice,1997,2021-01-17,2021-02-06,77,597 Swanson Underpass,597 Swanson Underpass,Verified_Match,4426.23,354.1,4780.33,FAM-18321,4780.33,47141.6,33096.56,4520.16,2537.42,40154.14
France,Settled,Standard,Travel,Secondary_Driver,Low_Risk,Personal_Item,Agent,No,Quarterly,Standard_Individual,2018,REF-114340,19793,West Angelabury,Illinois,2EO6424,Fisher LLC,Line,1991,2024-08-26,2024-09-13,48,8041 Fowler Way,230 Cassandra Road,Manual_Review,4458.15,356.65,4852.054285369094,FAM-9708,4852.05,179782.87,57487.63,4970.55,417.6,62875.78
USA,Settled,Pre-emptive,Auto,Secondary_Driver,Low_Risk,Boat,Online,No,Quarterly,Family_Economy_Bundle,2005,LEGACY-177,25421,Brownview,Missouri,ZXX-6204,Griffin-Dickson,Cause,1991,2022-04-04,2022-03-29,77,60858 Nelson Fork,60858 Nelson Fork,Verified_Match,1444.81,115.58,1591.7052513258056,FAM-10085,849.18,162160.3,44522.26,3195.49,9379.76,57097.51
USA,Settled,Standard,Property,Secondary_Driver,Unrated,Passenger_Vehicle,Online,No,Quarterly,Family_Economy_Bundle,2021,REF-184995,96743,Nunezborough,Oregon,830 PZJ,Wright Group,Else,2011,2023-01-01,2023-01-08,64,0014 Heath Lodge,04150 Manning Parkways,Mismatch,2346.87,187.75,2582.148326037291,FAM-5275,1905.05,478521.31,47386.83,3626.05,372.22,51385.1
USA,Settled,Catastrophic,Home,Beneficiary,High_Risk,Personal_Item,Agent,No,Monthly,Standard_Individual,2010,LEGACY-544,97498,Randalltown,Alaska,WNT 036,"Anderson, Pineda and Copeland",Why,2014,2021-09-18,2021-09-30,75,632 Jessica Ports,12685 Robinson Orchard Apt. 266,Pending,2442.41,195.39,2664.6771894793787,FAM-2973,2664.68,477718.33,44983.96,830.3,8562.2,54376.46
USA,Settled,Standard,Auto,Beneficiary,Unrated,Personal_Item,Partner,No,Quarterly,Standard_Individual,2017,REF-196173,54503,South Joshuamouth,Minnesota,HBJ 011,Jones-Miller,Write,2008,2023-10-01,2023-10-23,26,80525 Rebecca Pass Apt. 100,176 Adam Island Apt. 748,Mismatch,2928.56,234.28,3173.1308519936583,FAM-12857,3173.13,488807.93,35560.5,826.67,8753.69,45140.86
USA,Open,Standard,Travel,Policy_Holder,Low_Risk,Passenger_Vehicle,Online,No,Annual,Standard_Individual,2022,REF-142792,64100,Schroederland,Indiana,WW 03292,Rodriguez-Banks,Police,2015,2025-11-26,2025-12-03,71,76013 Williamson Locks Suite 952,76013 Williamson Locks Suite 952,Verified_Match,2139.61,171.17,2310.78,FAM-2761,2310.78,20266.06,17602.05,846.76,6651.72,25206.09
UK,Settled,Standard,Auto,Secondary_Driver,High_Risk,Boat,Agent,No,Quarterly,Family_Economy_Bundle,2009,LEGACY-696,33055,West Melissafurt,Oklahoma,5B 4R0USP,"Nicholson, Wilson and Callahan",Image,1995,2021-09-23,2021-10-08,64,97226 Miller Hill Suite 609,97226 Miller Hill Suite 609,Verified_Match,4720.09,377.61,5115.761111129468,FAM-8951,1957.96,11582.8,5778.3,3400.62,1824.74,11003.66
USA,Litigation,Standard,Auto,Policy_Holder,Standard,Real_Estate,Partner,No,Monthly,Standard_Individual,2022,REF-129211,55154,South Stephanie,Hawaii,9A 4240T,Chavez-Massey,Thousand,2022,2024-08-11,2024-09-05,14,4673 Reeves Viaduct,4673 Reeves Viaduct,Verified_Match,599.27,47.94,668.0690136925949,FAM-4315,668.07,36827.86,27588.68,1946.04,5451.74,35290.84
USA,Pending_Review,Standard,Life,Primary_Driver,Standard,Real_Estate,Online,No,Quarterly,Family_Economy_Bundle,2012,LEGACY-362,99651,Darrenbury,Wyoming,24-89385,"Anderson, Perez and Gaines",Scientist,2020,2024-04-21,2024-05-03,42,3135 Washington Flat Suite 675,73814 Santos Village,Pending,3832.81,306.62,4159.480326298638,FAM-4290,1348.51,312364.36,49660.15,3742.43,9989.73,63915.7
Canada,Open,Standard,Home,Policy_Holder,High_Risk,Real_Estate,Online,No,Annual,Standard_Individual,2012,LEGACY-550,60414,South Morgan,Arizona,LJH 313,Morris-Washington,Traditional,2000,2023-05-05,2023-05-06,10,9567 Preston Plaza Suite 135,9567 Preston Plaza Suite 135,Verified_Match,3126.01,250.08,3376.09,FAM-5389,3376.09,159119.84,48757.43,2293.42,1693.37,53074.8
UK,Pending_Review,Urgent,Life,Policy_Holder,Standard,Boat,Partner,No,Annual,Family_Economy_Bundle,2000,LEGACY-810,48024,Robertsstad,Idaho,750 7374,Lee Ltd,Decade,2004,2025-09-29,2025-09-29,4,83807 Connie Walk,83807 Connie Walk,Verified_Match,764.93,61.19,826.1199999999999,FAM-1939,748.37,128028.08,22164.0,1585.83,9920.28,34051.48
UK,Settled,Urgent,Property,Primary_Driver,Low_Risk,Boat,Agent,No,Quarterly,Family_Economy_Bundle,2023,REF-168323,35223,Danielsmouth,Kansas,86AW555,Jacobs and Sons,Push,2013,2022-06-21,2022-07-06,36,68480 Wesley Forges,030 Jacob Inlet Apt. 101,Manual_Review,1932.21,154.58,2100.084518010659,FAM-18207,909.17,13664.52,8326.02,2286.93,2368.34,12981.29
Canada,Settled,Standard,Home,Beneficiary,High_Risk,Commercial_Truck,Partner,No,Monthly,Family_Economy_Bundle,2015,REF-139424,76685,New Timothymouth,Delaware,P28 0XU,"Gonzalez, Franklin and Long",Land,1995,2024-11-18,2024-11-29,8,673 Myers Squares,832 Ware Squares,Pending,3320.28,265.62,3606.6221251505535,FAM-1372,1191.82,383089.43,16306.12,222.33,1515.28,18043.73
