student_id,first_name,last_name,academic_year,semester,department,program_degree,residency_status,citizenship,status,campus_zone,aid_type,advisor_rank,tuition_fee,lab_fee,services_fee,credits_completed_previously,credits_registered,thesis_proposal_date,thesis_submission_date,internship_hours,country,university_email,gov_id,total_invoice_amount,financial_aid_amount,zip_code,city,state,advisor_id,dorm_room_id,dorm_building
b2e9962c,Mary,Lindsey,1,Fall 2024,History,BS,In-State,Foreign_National,Active,Zone A,Loan,Senior Faculty,15488.62,1167.15,1485.33,41,13,2024-09-24,2025-09-20,209,India,mary.lindsey@univ.edu,185-15-7730,18141.1,48.73,98735,Cassandrahaven,LA,ADV_GEN_01,183,East Wing
ec1d9f60,Clinton,Holland,1,Fall 2024,English,MS,Out-of-State,Domestic,Active,Zone A,Scholarship,Adjunct,11234.26,1226.43,704.81,88,13,2024-07-05,2024-08-28,213,UK,clinton.holland@univ.edu,627-88-8606,13165.5,41.0,74611,North Wanda,OK,ADV_GEN_03,147,East Wing
f470639d,Christopher,Briggs,3,Fall 2024,Biology,BS,In-State,Domestic,Active,Zone A,Grant,Adjunct,17044.78,872.85,874.81,13,8,2024-08-14,2025-06-30,41,India,christopher.briggs@univ.edu,124-46-2201,18792.44,50000.0,55716,Shawstad,OH,ADV_GEN_02,101,East Wing
6d6e62d7,Laurie,Adams,1,Fall 2024,Chemistry,BS,Out-of-State,Domestic,Active,Zone B,Scholarship,Junior Faculty,7410.57,900.44,682.56,104,16,2024-06-21,2025-06-19,68,USA,laurie.adams@univ.edu,870-56-5241,8993.57,30.35,2115,Boston,MA,ADV_GEN_01,126,South Hall
1051f583,Sylvia,Frank,1,Fall 2024,Nursing,MS,Out-of-State,Domestic,Active,Zone B,Scholarship,Adjunct,16356.65,74.33,820.35,89,13,2024-03-17,2024-06-30,31,Canada,sylvia.frank@univ.edu,240-15-8921,17251.329999999998,59.62,73730,East Richard,DC,ADV_GEN_03,138,South Hall
80944b5a,Erika,Myers,6,Fall 2024,English,MS,Exchange,Foreign_National,Active,Zone B,,Junior Faculty,9992.05,1594.47,935.91,101,11,2024-11-08,2025-04-16,50,Mexico,erika.myers@univ.edu,372-83-9514,935.91,39.33,48877,Robertoshire,MT,ADV_GEN_01,114,South Hall
33f82ba3,Michael,Ramsey,4,Fall 2024,Mathematics,PhD,In-State,Domestic,Active,Zone B,,Adjunct,18019.82,675.94,1187.95,138,14,2024-07-31,2025-01-21,35,Mexico,michael.ramsey@univ.edu,461-76-3392,19883.71,1248.7,84066,East Kimberlyshire,NY,ADV_MAT_6,135,West Wing
aa211b1a,David,Harris,1,Fall 2024,Mathematics,BA,In-State,Domestic,Active,Zone B,,Junior Faculty,14562.55,1328.86,682.61,37,9,2024-04-22,2025-08-25,46,USA,david.harris@univ.edu,500-15-1552,16574.02,991.2,77001,Houston,TX,ADV_MAT_5,188,South Hall
832cd3e5,Joy,Rogers,4,Fall 2024,Physics,BA,International,Domestic,Graduated,Zone B,,Senior Faculty,9796.38,634.22,1346.28,69,16,2024-11-15,2025-11-30,13,Canada,joy.rogers@univ.edu,362-33-6781,11776.88,667.38,13090,Port Katherine,PW,ADV_PHY_8,168,South Hall
b1b1c53a,Lori,Molina,1,Fall 2024,Nursing,BS,In-State,Foreign_National,Active,Zone A,Grant,Adjunct,17150.83,407.57,1477.95,23,3,2024-09-25,2025-09-25,12,USA,lori.molina@univ.edu,583-51-1012,19036.35,50000.0,90210,Beverly Hills,CA,ADV_GEN_02,147,East Wing
0d1db8e3,Dave,Franklin,4,Fall 2024,English,BS,In-State,Foreign_National,Active,Zone B,Scholarship,Junior Faculty,9572.05,195.2,1293.56,22,16,2024-03-17,2025-09-18,27,USA,dave.franklin@univ.edu,567-62-8553,11060.81,36.91,77001,Houston,TX,ADV_GEN_01,110,South Hall
5efebe7a,Jessica,Rodriguez,2,Fall 2024,Computer Science,PhD,Out-of-State,Domestic,Active,Zone B,Scholarship,Adjunct,16743.59,1510.67,1207.48,168,15,2024-11-01,2024-12-31,115,USA,jessica.rodriguez@univ.edu,797-25-1997,19461.74,1216.57,90210,Beverly Hills,CA,ADV_COM_7,159,West Wing
0671b193,Derek,Johnson,1,Fall 2024,History,BA,In-State,Foreign_National,Withdrawn,Zone A,Tuition_Waiver,Adjunct,24171.34,1496.59,1495.08,83,5,2024-05-02,2025-01-28,162,USA,derek.johnson@univ.edu,641-83-2161,27163.01,79.53,60601,Chicago,IL,ADV_GEN_03,109,East Wing
f3d04ffb,Jason,Bell,4,Fall 2024,Nursing,PhD,International,Domestic,Active,Zone B,Loan,Junior Faculty,12066.45,157.9,1037.83,157,12,2024-04-25,2024-07-01,470,USA,jason.bell@univ.edu,464-28-4793,13262.18,49.59,77001,Houston,TX,ADV_GEN_01,105,West Wing
7f6aee7f,Jennifer,Newton,1,Fall 2024,Physics,MS,Exchange,Domestic,Withdrawn,Zone B,,Senior Faculty,15305.24,76.91,864.15,33,8,2024-04-23,2024-02-23,289,USA,jennifer.newton@univ.edu,813-60-0840,864.15,1162.78,2115,Boston,MA,ADV_PHY_5,133,West Wing
fea8c9b8,Anthony,Harris,1,Fall 2024,Nursing,MS,Out-of-State,Domestic,Probation,Zone A,Tuition_Waiver,Adjunct,17325.2,447.62,1453.2,42,8,2023-12-19,2023-12-14,14,USA,anthony.harris@univ.edu,244-18-4433,19226.02,60.23,10001,New York,NY,ADV_GEN_03,101,East Wing
5954dd5a,Jacqueline,Peterson,5,Fall 2024,English,BA,Out-of-State,Foreign_National,Active,Zone A,Tuition_Waiver,Adjunct,23329.34,1804.69,1246.92,111,17,2023-12-28,2025-08-18,35,Mexico,jacqueline.peterson@univ.edu,749-96-5190,26380.95,14.54,44998,Lake Sandraport,AK,ADV_GEN_01,136,North Hall
fe109e68,Nicholas,Cruz,2,Fall 2024,Computer Science,BS,International,Foreign_National,Active,Zone A,Loan,Junior Faculty,13323.96,689.41,1289.35,95,11,2024-09-20,2025-04-01,73,USA,nicholas.cruz@univ.edu,059-18-3904,15302.72,883.05,90210,Beverly Hills,CA,ADV_COM_8,127,East Wing
314b888d,Sharon,Park,6,Fall 2024,Mathematics,BS,Out-of-State,Domestic,Active,Zone B,Grant,Junior Faculty,17327.11,1208.25,1479.26,41,15,2024-09-19,2025-08-06,37,UK,sharon.park@univ.edu,332-27-9942,20014.62,1168.29,60965,Lindsayview,FM,ADV_MAT_4,116,South Hall
9e54b7bf,Alan,Moss,3,Fall 2024,Chemistry,BS,In-State,Domestic,Active,Zone B,Scholarship,Adjunct,6517.46,218.79,717.91,102,6,2024-08-18,2024-12-24,62,USA,alan.moss@univ.edu,394-88-5429,7454.16,50000.0,2115,Boston,MA,ADV_GEN_02,120,South Hall
