EmployeeID,Department,EmploymentStatus,EmploymentType,JobTitle,Country,OfficeLocation,ZipCode,State,ManagerID,HireDate,TerminationDate,BaseSalary,Bonus,Commission,TotalCompensation,TaxWithheld,NetPay,OvertimeHours,TrainingCredits,Email
E102065,HR,Active,Part-Time,Senior Analyst,USA,San Francisco,10019,NY,MHR9,2015-02-14,,134161.11,1904.07,0.0,136065.18,34016.3,102048.88,5.6,1938,e102065@corp.com
E74498,HR,Active,Executive,Junior Associate,USA,New York,90007,CA,MHR1,2016-08-09,,140395.3,4702.45,0.0,145097.75,36274.44,108823.31,0.0,733,e74498@corp.com
E10572,Legal,Terminated,Executive,HR Manager,USA,San Francisco,90001,CA,MLE7,2021-08-07,2023-07-19,80498.23,12480.3,0.0,92978.53,23244.63,69733.9,0.0,572,e10572@corp.com
E67538,Legal,Active,Contractor,Junior Associate,USA,Austin,90009,CA,MLE3,2016-12-07,,79725.66,162.93,0.0,79888.59,19972.15,59916.44,0.0,1645,e67538@corp.com
E18775,Finance,Active,Full-Time,Senior Analyst,Germany,Berlin,45987,ND,MFI8,2015-05-25,,114235.59,10236.17,0.0,124461.04095183204,31115.26,124961.04095183204,5.1,1825,e18775@corp.com
E75782,HR,Active,Intern,Director,Japan,Tokyo,90737,,MHR6,2020-04-15,,142693.04,23479.55,0.0,166172.59,41543.15,124629.44,0.5,1116,e75782@corp.com
E20672,Engineering,Leave,Intern,Junior Associate,Germany,Berlin,73052,ND,MEN8,2015-12-23,,84783.69,466.56,0.0,85250.25,21312.56,85750.25,13.1,939,e20672@corp.com
E106689,Sales,Active,Executive,Director,UK,Manchester,73529,AK,MSA0,2017-12-17,,52303.89,5095.19,23233.67,80681.76213299636,20170.44,60511.32213299636,0.0,520,e106689@corp.com
E69263,Engineering,Active,Part-Time,Senior Analyst,UK,London,98458,MH,MEN4,2022-05-08,,117115.07,10030.01,0.0,127145.08,31786.27,95358.81,1.9,176,e69263@corp.com
E95085,Finance,Active,Contractor,Software Engineer,USA,San Francisco,90007,CA,MFI9,2021-03-05,,139500.75,14435.8,0.0,154052.5175242095,38513.13,115539.38752420952,0.0,1904,e95085@corp.com
E93146,Engineering,Active,Intern,Junior Associate,Germany,Berlin,12894,KY,MEN8,2020-05-08,,56337.56,4220.66,0.0,60558.22,15139.56,61058.22,4.4,821,e93146@corp.com
E107511,Engineering,Active,Salaried,Senior Analyst,UK,Manchester,82469,UT,MEN4,2016-07-08,,68999.04,13086.2,0.0,82085.23999999999,20521.31,61563.92999999999,0.0,885,e107511@corp.com
E84408,Finance,Active,Intern,Junior Associate,UK,Manchester,53929,WV,MFI4,2022-08-17,,130264.65,21947.23,0.0,152325.37970839703,38081.34,114244.03970839705,17.0,1818,e84408@corp.com
E93056,Legal,Active,Full-Time,Director,Japan,Tokyo,50220,ID,MLE0,2018-08-26,,48178.46,3094.78,0.0,51273.24,12818.31,38454.93,18.3,1954,e93056@corp.com
E44709,Sales,Active,Hourly,Senior Analyst,UK,Manchester,52504,,MSA9,2018-08-17,,135048.91,12089.35,19704.69,166729.30403095874,41682.33,125046.97403095874,8.4,1843,e44709@corp.com
E19509,HR,Active,Full-Time,Senior Analyst,USA,San Francisco,90011,CA,MHR9,2015-01-20,,149838.82,13828.41,0.0,163667.23,40916.81,122750.42,7.6,1358,e19509@corp.com
E103756,Support,Active,Full-Time,Software Engineer,Japan,Tokyo,41276,WY,MSU2,2018-01-08,,44870.52,7906.18,0.0,52816.7395740528,13204.18,39612.5595740528,12.0,1751,e103756@corp.com
E64983,Engineering,Applicant,Intern,Sales Associate,Germany,Munich,23464,NV,MEN4,2022-06-23,,124463.58,11287.45,0.0,135751.03,33937.76,136251.03,1.0,744,e64983@corp.com
E63738,Engineering,Terminated,Intern,Sales Associate,Germany,Berlin,66254,,MEN7,2017-06-20,2019-12-01,119237.97,7692.48,0.0,126930.45,31732.61,127430.45,14.3,789,e63738@corp.com
E22703,Support,Terminated,Intern,Software Engineer,UK,Manchester,88757,,MSU8,2016-06-08,2017-05-23,141093.02,22830.17,0.0,163864.20840939038,40966.05,122898.15840939038,10.2,1793,e22703@corp.com
